user_id,name,password,role,preferred_language
23B21A4501,CHATAKONDA NAGA V V GAYATRI JAYA SRUTHI,23B21A4501@123,student,
23B21A4502,GUBBALA RAMYA SRI LAKSHMI,23B21A4502@123,student,
23B21A4503,NANGI LALITHA,23B21A4503@123,student,
23B21A4504,KOYYA BHAVYA AKSHAYA,23B21A4504@123,student,
23B21A4505,Student_23B21A4505,23B21A4505@123,student,
23B21A4506,Student_23B21A4506,23B21A4506@123,student,
23B21A4507,Student_23B21A4507,23B21A4507@123,student,
23B21A4508,Student_23B21A4508,23B21A4508@123,student,
23B21A4509,Student_23B21A4509,23B21A4509@123,student,
23B21A4510,Student_23B21A4510,23B21A4510@123,student,
23B21A4511,Student_23B21A4511,23B21A4511@123,student,
23B21A4512,Student_23B21A4512,23B21A4512@123,student,
23B21A4513,Student_23B21A4513,23B21A4513@123,student,
23B21A4514,Student_23B21A4514,23B21A4514@123,student,
23B21A4515,Student_23B21A4515,23B21A4515@123,student,
23B21A4516,Student_23B21A4516,23B21A4516@123,student,
23B21A4517,Student_23B21A4517,23B21A4517@123,student,
23B21A4518,Student_23B21A4518,23B21A4518@123,student,
23B21A4519,Student_23B21A4519,23B21A4519@123,student,
23B21A4520,Student_23B21A4520,23B21A4520@123,student,
23B21A4521,Student_23B21A4521,23B21A4521@123,student,
23B21A4522,Student_23B21A4522,23B21A4522@123,student,
23B21A4523,Student_23B21A4523,23B21A4523@123,student,
23B21A4524,Student_23B21A4524,23B21A4524@123,student,
23B21A4525,Student_23B21A4525,23B21A4525@123,student,
23B21A4526,Student_23B21A4526,23B21A4526@123,student,
23B21A4527,Student_23B21A4527,23B21A4527@123,student,
23B21A4528,Student_23B21A4528,23B21A4528@123,student,
23B21A4529,Student_23B21A4529,23B21A4529@123,student,
23B21A4530,Student_23B21A4530,23B21A4530@123,student,
23B21A4531,Student_23B21A4531,23B21A4531@123,student,
23B21A4532,Student_23B21A4532,23B21A4532@123,student,
23B21A4533,Student_23B21A4533,23B21A4533@123,student,
23B21A4534,Student_23B21A4534,23B21A4534@123,student,
23B21A4535,Student_23B21A4535,23B21A4535@123,student,
23B21A4536,Student_23B21A4536,23B21A4536@123,student,
23B21A4537,Student_23B21A4537,23B21A4537@123,student,
23B21A4538,Student_23B21A4538,23B21A4538@123,student,
23B21A4539,Student_23B21A4539,23B21A4539@123,student,
23B21A4540,Student_23B21A4540,23B21A4540@123,student,
23B21A4541,Student_23B21A4541,23B21A4541@123,student,
23B21A4542,Student_23B21A4542,23B21A4542@123,student,
23B21A4543,Student_23B21A4543,23B21A4543@123,student,
23B21A4544,Student_23B21A4544,23B21A4544@123,student,
23B21A4545,Student_23B21A4545,23B21A4545@123,student,
23B21A4546,Student_23B21A4546,23B21A4546@123,student,
